molecule_chembl_id,cleaned_canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL39380,COC(=O)CC(O)CP(=O)([O-])CCc1c(Cl)cc(Cl)cc1OCc1ccccc1,active,460.2700000000001,3.6773000000000025,1.0,6.0,7.0
CHEMBL39003,CC(C)(C)C(=O)OCOC(=O)CC(O)CP(=O)(CCc1c(Cl)cc(Cl)cc1OCc1ccccc1)OCOC(=O)C(C)(C)C,active,675.5390000000001,6.797400000000008,1.0,10.0,7.0
CHEMBL39102,O=C(O)C[C@H](O)CP(=O)(O)CCc1c(Cl)cc(Cl)cc1OCc1ccccc1,active,447.2510000000001,4.220900000000002,3.0,4.0,6.0
CHEMBL162083,O=S(=O)(CC#C/C=C\C#CCO)c1ccccc1,active,260.31399999999996,1.0156000000000003,1.0,3.0,8.0
CHEMBL350898,COc1ccc(S(=O)(=O)CC#C/C=C\C#CCO)cc1,active,290.34,1.0242,1.0,4.0,8.0
CHEMBL161188,O=S(=O)(CC#C/C=C\C#CCO)c1ccc2ccccc2c1,active,310.374,2.1688,1.0,3.0,8.0
CHEMBL350267,O=S(=O)(CC#Cc1ccccc1C#CCO)c1ccc2ccccc2c1,active,360.434,3.0090000000000012,1.0,3.0,8.397940008672037
CHEMBL349491,O=S(=O)(CC#Cc1ccccc1C#CCO)c1ccccc1,active,310.37399999999997,1.8558000000000001,1.0,3.0,8.0
CHEMBL162252,O=S(=O)(CC#Cc1cc2ccccc2cc1C#CCO)c1ccccc1,active,360.4340000000001,3.0090000000000012,1.0,3.0,8.0
CHEMBL161187,COC(=O)c1ccccc1S(=O)(=O)CC#C/C=C\C#CCO,active,318.35,0.8022,1.0,5.0,8.0
CHEMBL16120,CCN(CC#Cc1ccc(N=[N+]=[N-])cc1)Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,intermediate,484.6500000000002,7.871000000000006,0.0,5.0,5.6777807052660805
CHEMBL267332,CCN(CC#Cc1cccc(N=[N+]=[N-])c1)Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,active,484.6500000000002,7.871000000000007,0.0,5.0,6.267606240177032
CHEMBL16178,CCN(CC#Cc1ccccc1)Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,active,443.6370000000001,6.929200000000005,0.0,4.0,7.154901959985743
CHEMBL54875,Nc1ccc(-c2cc(=O)c3c(N)c(F)cc(F)c3o2)cc1F,active,306.243,3.0417000000000005,2.0,4.0,8.55284196865778
CHEMBL18511,CC1CN1CC(O)CC1CC1,active,155.24099999999996,0.8514999999999999,1.0,2.0,14.671620396561263
CHEMBL16004,CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OC[Si](C)(C)c2ccc(N=[N+]=[N-])cc2)c1,intermediate,460.69800000000015,6.589600000000008,0.0,3.0,5.920818753952375
CHEMBL15929,CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OC[Si](C)(C)c2ccc(C#N)cc2)c1,active,444.69500000000016,5.519480000000006,0.0,3.0,7.221848749616356
CHEMBL15811,CCN(CC#Cc1ccccc1N=[N+]=[N-])Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,inactive,484.6500000000002,7.871000000000007,0.0,5.0,4.0
CHEMBL120102,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccc(Cl)cc1)CCC2,intermediate,497.9740000000003,3.592500000000002,2.0,6.0,5.958607314841775
CHEMBL122674,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccc(-c3ccccc3)cc1)CCC2,active,539.6270000000001,4.606100000000004,2.0,6.0,7.0
CHEMBL90393,Nc1ccn([C@H]2C=C[C@@H](CO)S2)c(=O)n1,inactive,225.27299999999997,-0.012000000000000177,2.0,6.0,4.823908740944319
